"teamName","character","characterScore","nonWeightedAverageStabilityScore","nonWeightedAverageSimilarityScore"
"AdrienTeam","A","0.09897884170483668024","0.820000000298023224","0.1713010100647807093"
"AdrienTeam","B","0.00036636399136490033","0.147272728383541107","0.00239821838622447098"
"AdrienTeam","C","0.00087620750735578168","0.700487014651298523","0.00709419787890510626"
"AdrienTeam","D","0.01363459972481169305","0.60808080732822418","0.02334367638977710149"
"AdrienTeam","E","0.00410681994084585116","0.74794872105121613","0.01018931644211988894"
"AdrienTeam","F","0.00900439966211437646","0.55666666775941849","0.01661218772060237829"
"AdrienTeam","G","0.0044576018291224071","0.45663003623485565","0.00808900297270156445"
"AdrienTeam","H","0.08530629807053530271","0.65","0.15690757674165069525"
"AdrienTeam","I","0.04794259518514023512","0.30833333134651184","0.1078229446429759241"
"AdrienTeam","J","0.00301908225980788449","0.60147058963775635","0.00695111700333654895"
"AdrienTeam","K","0.00153941059330594291","0.4","0.00401846960157854485"
"AdrienTeam","L","0.2079995639274060625","0.66500000059604645","0.49983412565488832072"
"AdrienTeam","M","0.01045889590842639248","0.67777777910232544","0.02107616497378330679"
"AdrienTeam","N","0.00782692923056643042","0.65833333358168602","0.01322561439592391215"
"AdrienTeam","O","0.02899621678635578316","1","0.056259632110595703"
"AdrienTeam","P","0.01458517210811923997","0.801250000298023224","0.02599251840292709025"
"AdrienTeam","Q","0.00172318271164348237","0.57833333313465118","0.00358885213572648349"
"AdrienTeam","R","0.00109235169140131887","0.62563492059707642","0.00203244115255074578"
"AdrienTeam","S","0.00377654777299083415","0.53076923489570618","0.00869326628744602172"
"AdrienTeam","T","0.00110112117677482962","0.8050000011920929","0.0021499481750652194"
"AdrienTeam","U","0.0018026218990210512","0.62833333313465118","0.00500178656111529579"
"AdrienTeam","V","0.00172259694724172206","0.69583333730697632","0.00323215260577853768"
"AdrienTeam","W","0.02124641350485235882","0.57874396145343781","0.03976334286853671304"
"AdrienTeam","X","0.00109652004533441365","0.684615387022495274","0.00191169092431664471"
"AdrienTeam","Y","0.00230915931361800749","0.6","0.00422503568697720773"
"AdrienTeam","Z","0.00550726447651276477","0.649411766231060028","0.01449835765379248171"
"albatross","A","0","0","0"
"albatross","B","0","0","0"
"albatross","C","0","0","0"
"albatross","D","0","0","0"
"albatross","E","0","0","0"
"albatross","F","0","0","0"
"albatross","G","0","0","0"
"albatross","H","0","0","0"
"albatross","I","0","0","0"
"albatross","J","0","0","0"
"albatross","K","0","0","0"
"albatross","L","0","0","0"
"albatross","M","0","0","0"
"albatross","N","0","0","0"
"albatross","O","0","0","0"
"albatross","P","0","0","0"
"albatross","Q","0","0","0"
"albatross","R","0","0","0"
"albatross","S","0","0","0"
"albatross","T","0","0","0"
"albatross","U","0.00280938924063056981","0.07272727489471436","0.007237620651721954"
"albatross","V","0","0","0"
"albatross","W","0","0","0"
"albatross","X","0","0","0"
"albatross","Y","0","0","0"
"albatross","Z","0","0","0"
"Back to the future","A","0.00116930097803825105","0.2","0.00200004811922553932"
"Back to the future","B","0.00346917634405883811","0.5","0.0054953230544924736"
"Back to the future","C","0.0160648450460629472","0.56666666865348816","0.02725619794218801031"
"Back to the future","D","0.01475524449277809477","0.4","0.024824758619070054"
"Back to the future","E","0.00753964424790973683","0.7","0.01393376613268628701"
"Back to the future","F","0.0056835288141764502","0.3","0.0101646017283201216"
"Back to the future","G","0.0002817653699205125","0.03333333432674408","0.0013200799003243446"
"Back to the future","H","0.00232676485207926371","0.47142857313156128","0.00472011883466620917"
"Back to the future","I","0.05401761975136489002","0.4","0.1197043332271277914"
"Back to the future","J","0.00764231871337127405","0.475","0.01365340478951111409"
"Back to the future","K","0.00486988250021231615","0.6","0.0083652800414711237"
"Back to the future","L","0.03510702394574824056","0.4","0.0716618871316313738"
"Back to the future","M","0.00171711244878465019","0.3","0.0031848765211179853"
"Back to the future","N","0.00132031028103039298","0.3","0.0022008372936397791"
"Back to the future","O","0.00571981521240594551","0.4375","0.01111672578845173129"
"Back to the future","P","0.00313238832875147237","0.527272728085517883","0.00559978715609759084"
"Back to the future","Q","0.00082538057066641294","0.3","0.00129825687763514001"
"Back to the future","R","0.00173152295942936215","0.3","0.002801036462187767"
"Back to the future","S","0.00368651489834886467","0.3","0.0056486399669665843"
"Back to the future","T","0.00171133100569624026","0.24000000059604645","0.00336160570732317833"
"Back to the future","U","0.01630469923844250448","0.43333333432674408","0.03081676427718775942"
"Back to the future","V","0.00256481019684127375","0.4","0.00442248330800794052"
"Back to the future","W","0.03107023381810886765","0.6","0.05800040440808515952"
"Back to the future","X","0.0050615739260737839","0.320000000298023224","0.00807865678798407345"
"Back to the future","Y","0.00625109176518196557","0.31818181872367859","0.011587577906902879"
"Back to the future","Z","0.00454656507128735774","0.36666666865348816","0.00783348337063216603"
"dereventsolve","A","0.1131275652625980061","0.9","0.193500714004039764"
"dereventsolve","B","0.00937590243556174339","0.94000000059604645","0.0152155863121151928"
"dereventsolve","C","0.00873129178833010781","1","0.014811762608587742"
"dereventsolve","D","0.12279460291500812826","1","0.2065940946340561"
"dereventsolve","E","0.53631432209725620129","1","0.99114468693733215"
"dereventsolve","F","0.55711792095952134512","1","0.9963672161102295"
"dereventsolve","G","0.00238023745406002263","1","0.0037171633448451757"
"dereventsolve","H","0.54224584331313444158","1","0.9955691695213318"
"dereventsolve","I","0.45042866489020546794","1","0.9981606602668762"
"dereventsolve","J","0.54580851717885017257","1","0.97490964531898499"
"dereventsolve","K","0.08848669942198440246","1","0.15199874341487885"
"dereventsolve","L","0.48897242911981656877","1","0.99811043739318845"
"dereventsolve","M","0.00035703669994282549","1","0.0006622267537750304"
"dereventsolve","N","0.00011842872496652878","1","0.00019740992574952543"
"dereventsolve","O","0.09523355708481821984","0.9","0.184775997698307036"
"dereventsolve","P","0.27438632007676442391","1","0.48634663224220276"
"dereventsolve","Q","0.00868941443641090893","1","0.0136677460744976995"
"dereventsolve","R","0.06073917780597542443","0.9","0.098256076127290726"
"dereventsolve","S","0.00323492110169045351","1","0.0049566881265491244"
"dereventsolve","T","0.52367197743816938079","1","0.996815025806427"
"dereventsolve","U","0.4658333891048712582","0.9","0.87279415726661681"
"dereventsolve","V","0.00022368685711950791","1","0.0003857015981338918"
"dereventsolve","W","0.00367723491521278104","0.9","0.0068644836544990536"
"dereventsolve","X","0.01093045816443169692","1","0.0172842126339674"
"dereventsolve","Y","0.0656662109505187935","1","0.12014852464199066"
"dereventsolve","Z","0.41780260840302882623","0.9","0.71955304741859436"
"For500","A","0","0","0"
"For500","B","0","0","0"
"For500","C","0","0","0"
"For500","D","0","0","0"
"For500","E","0","0","0"
"For500","F","0","0","0"
"For500","G","0","0","0"
"For500","H","0","0","0"
"For500","I","0","0","0"
"For500","J","0","0","0"
"For500","K","0","0","0"
"For500","L","0","0","0"
"For500","M","0","0","0"
"For500","N","0","0","0"
"For500","O","0","0","0"
"For500","P","0","0","0"
"For500","Q","0","0","0"
"For500","R","0","0","0"
"For500","S","0","0","0"
"For500","T","0","0","0"
"For500","U","0","0","0"
"For500","V","0","0","0"
"For500","W","0","0","0"
"For500","X","0","0","0"
"For500","Y","0","0","0"
"For500","Z","0","0","0"
"hachi","A","0","0","0"
"hachi","B","0.00122228276574254941","0.23333333432674408","0.00194353216356830673"
"hachi","C","0.0000045680107523589","0.06666666865348816","0.00001162375920102932"
"hachi","D","0","0","0"
"hachi","E","0.00005273216480933769","0.1375","0.000128927081823349"
"hachi","F","0.00003780537674011862","0.1","0.00006761232507415116"
"hachi","G","0.00001355147945623773","0.1","0.0000211630409467034"
"hachi","H","0","0","0"
"hachi","I","0.04552884298933664401","0.2","0.1008930015377700308"
"hachi","J","0","0","0"
"hachi","K","0.00028181056141842285","0.2","0.00048408237053081393"
"hachi","L","0","0","0"
"hachi","M","0.0000089760195153256","0.1","0.00001664859737502411"
"hachi","N","0.00016570008568531109","0.1375","0.00038920000661164522"
"hachi","O","0.01332428815818334319","0.1","0.025852322578430176"
"hachi","P","0.00043680963036570731","0.08333333134651184","0.000929088145494461"
"hachi","Q","0.00013888582777875538","0.16832706928253174","0.00038184111763257533"
"hachi","R","0.00010827776476430109","0.06666666865348816","0.00026273687835782766"
"hachi","S","0","0","0"
"hachi","T","0.10497465033120110392","0.34000000059604645","0.20048831302920007112"
"hachi","U","0.10351788299598723655","0.2","0.19395304322242737"
"hachi","V","0.0000136358294706715","0.120000000298023224","0.00004585818824125454"
"hachi","W","0.0010156490703679223","0.08181818127632141","0.0023172898218035698"
"hachi","X","0.00030750795535679065","0.1","0.0004862589295953512"
"hachi","Y","0.0008495910234714936","0.3125","0.00197845752118155361"
"hachi","Z","0","0","0"
"Harry Single Group","A","0.00009387143771627126","0.66666666865348816","0.00016452415147796273"
"Harry Single Group","B","0.00085684394071676336","0.4","0.0013572772884799633"
"Harry Single Group","C","0.00617325614604693414","0.41666666865348816","0.0105548930645454679"
"Harry Single Group","D","0.00337882836431231638","0.33333333432674408","0.00568881081489962544"
"Harry Single Group","E","0.00219555667410294369","0.4","0.00405753537197597314"
"Harry Single Group","F","0.00051080361927725972","0.28333333134651184","0.00160208457964472465"
"Harry Single Group","G","0.00625354817142899455","0.40666666626930237","0.01506871083402074861"
"Harry Single Group","H","0.05481406507077617216","0.3","0.1006392098963260698"
"Harry Single Group","I","0.03595925018572238541","0.5","0.0796865557320415985"
"Harry Single Group","J","0.0011083905399130648","0.21666666865348816","0.00206751060031820094"
"Harry Single Group","K","0.00242503184787416921","0.46833333671092987","0.00432495675631798798"
"Harry Single Group","L","0.06374245149032573745","0.35","0.17994495332241058"
"Harry Single Group","M","0.00251745975374300195","0.45575757622718811","0.00671373060904443276"
"Harry Single Group","N","0.03306739340719303906","0.30000000298023224","0.08289316314330790424"
"Harry Single Group","O","0.00527241386067395552","0.6","0.01079689577345561733"
"Harry Single Group","P","0.00054115557938943165","0.15","0.00096527326240902767"
"Harry Single Group","Q","0.00093070871322359583","0.295000000298023224","0.00182460022624582057"
"Harry Single Group","R","0.00090572078124295977","0.35","0.00166731670760782438"
"Harry Single Group","S","0.00027723876781727083","0.25","0.00082008085446432237"
"Harry Single Group","T","0.0047701560518494595","0.25","0.0107783280313014984"
